Country Name,2022
World,7989981519.5
IDA & IBRD total,6795222291.5
Low & middle income,6568731933.5
Middle income,5851866150.5
IBRD only,4928694202.0
Early-demographic dividend,3470644834.0
Lower middle income,3041203716.5
Upper middle income,2810662434.0
East Asia & Pacific,2379648296.0
Late-demographic dividend,2324072105.5
